Index,X_length,Y_length,U1,U2,Z_length
252,200000.0,-6222352.8,0.55505202,-14.416739,3.1357419
253,280000.0,-6222352.8,0.77623232,-14.401717,3.1340276
254,360000.0,-6222352.8,0.99657563,-14.381724,3.1317476
255,440000.0,-6222352.8,1.2158441,-14.356795,3.1289069
256,520000.0,-6222352.8,1.4338059,-14.326968,3.1255112
257,600000.0,-6222352.8,1.6502283,-14.292293,3.121568
258,680000.0,-6222352.8,1.8648863,-14.252824,3.1170855
259,760000.0,-6222352.8,2.0775541,-14.208626,3.1120731
260,840000.0,-6222352.8,2.2880157,-14.159766,3.1065414
261,920000.0,-6222352.8,2.4960539,-14.106324,3.1005018
262,1000000.0,-6222352.8,2.7014637,-14.048382,3.0939667
263,1080000.0,-6222352.8,2.904038,-13.986031,3.0869496
264,1160000.0,-6222352.8,3.1035849,-13.919367,3.0794647
265,1240000.0,-6222352.8,3.2999084,-13.848491,3.0715269
266,1320000.0,-6222352.8,3.4928314,-13.77351,3.0631522
267,1400000.0,-6222352.8,3.6821703,-13.694538,3.0543568
268,1480000.0,-6222352.8,3.8677643,-13.611692,3.0451582
269,1560000.0,-6222352.8,4.0494426,-13.525091,3.0355738
270,1640000.0,-6222352.8,4.2270624,-13.434862,3.0256219
271,1720000.0,-6222352.8,4.4004661,-13.341134,3.0153211
272,1800000.0,-6222352.8,4.5695303,-13.244039,3.0046906
273,1880000.0,-6222352.8,4.7341105,-13.143711,2.9937494
274,1960000.0,-6222352.8,4.8941036,-13.040287,2.9825175
275,2040000.0,-6222352.8,5.0493783,-12.933907,2.9710141
276,2120000.0,-6222352.8,5.1998528,-12.824712,2.9592595
277,2200000.0,-6222352.8,5.3454081,-12.712843,2.9472731
278,2280000.0,-6222352.8,5.4859846,-12.598444,2.9350756
279,2360000.0,-6222352.8,5.6214746,-12.481657,2.9226869
280,2440000.0,-6222352.8,5.7518414,-12.362628,2.9101289
281,2520000.0,-6222352.8,5.8769876,-12.241498,2.8974223
282,2600000.0,-6222352.8,5.9969002,-12.118411,2.8845922
283,2680000.0,-6222352.8,6.1114919,-11.993509,2.8716518
284,2760000.0,-6222352.8,6.2207755,-11.866933,2.858631
285,2840000.0,-6222352.8,6.3246778,-11.738821,2.8454844
286,2920000.0,-6222352.8,6.4232258,-11.609311,2.8322876
287,2956192.9,-6222352.8,6.4660682,-11.5503,2.8261124
288,3008852.4,-6222352.8,6.5263839,-11.464004,2.8171262
289,3085470.4,-6222352.8,6.6099129,-11.33759,2.8040408
290,3196947.2,-6222352.8,6.7226511,-11.152066,2.7850403
291,3359142.4,-6222352.8,6.8679455,-10.879365,2.7575874
292,3595131.4,-6222352.8,7.0402744,-10.478641,2.7180619
293,3938487.9,-6222352.8,7.2097409,-9.892162,2.6621092
294,4438061.0,-6222352.8,7.2928311,-9.046108,2.5857947
295,5164924.1,-6222352.8,7.0990614,-7.8551345,2.4886646
296,6222487.3,-6222352.8,6.2710865,-6.2710328,2.3722864
297,7761208.6,-6222352.8,4.1484197,-4.0575131,2.2736497
298,10000000.0,-6222352.8,0.0,0.0,2.2381954
301,-10000000.0,-5164788.2,0.0,0.0,2.2765014
302,-7761109.3,-5164788.2,-5.0102293,-4.4201318,2.3364505
303,-6222352.8,-5164788.2,-7.8553532,-7.0991329,2.4886809
304,-5164788.2,-5164788.2,-9.1815484,-9.1815484,2.6707452
305,-4437939.7,-5164788.2,-9.6160141,-10.770208,2.8455824
306,-3938387.5,-5164788.2,-9.6315531,-11.931825,2.986502
307,-3595052.6,-5164788.2,-9.4875602,-12.748824,3.0926658
308,-3359083.6,-5164788.2,-9.3098999,-13.313775,3.1690627
309,-3196905.6,-5164788.2,-9.1489778,-13.70115,3.2229152
310,-3085443.1,-5164788.2,-9.0197091,-13.966134,3.2604407
311,-3008836.5,-5164788.2,-8.9218764,-14.147343,3.2864819
312,-2956185.9,-5164788.2,-8.8503622,-14.271356,3.3043706
313,-2920000.0,-5164788.2,-8.7991366,-14.356301,3.3166477
314,-2840000.0,-5164788.2,-8.6801495,-14.543189,3.3432977
315,-2760000.0,-5164788.2,-8.5530771,-14.728626,3.3697904
316,-2680000.0,-5164788.2,-8.4179575,-14.912402,3.3961314
317,-2600000.0,-5164788.2,-8.2747241,-15.094295,3.4223921
318,-2520000.0,-5164788.2,-8.123421,-15.274084,3.4485427
319,-2440000.0,-5164788.2,-7.9640294,-15.45154,3.4745483
320,-2360000.0,-5164788.2,-7.7966188,-15.626433,3.5003556
321,-2280000.0,-5164788.2,-7.6212096,-15.798527,3.5259138
322,-2200000.0,-5164788.2,-7.4378945,-15.967585,3.5511721
323,-2120000.0,-5164788.2,-7.2467301,-16.133368,3.5760821
324,-2040000.0,-5164788.2,-7.047833,-16.295637,3.600596
325,-1960000.0,-5164788.2,-6.8412959,-16.45415,3.6246668
326,-1880000.0,-5164788.2,-6.6272616,-16.608666,3.6482469
327,-1800000.0,-5164788.2,-6.4058591,-16.758944,3.6712891
328,-1720000.0,-5164788.2,-6.1772596,-16.904747,3.6937457
329,-1640000.0,-5164788.2,-5.9416279,-17.045837,3.7155697
330,-1560000.0,-5164788.2,-5.699165,-17.181981,3.7367142
331,-1480000.0,-5164788.2,-5.4500708,-17.312949,3.7571331
332,-1400000.0,-5164788.2,-5.1945762,-17.438516,3.7767808
333,-1320000.0,-5164788.2,-4.9329154,-17.558462,3.7956133
334,-1240000.0,-5164788.2,-4.665349,-17.672575,3.8135872
335,-1160000.0,-5164788.2,-4.3921436,-17.780649,3.8306608
336,-1080000.0,-5164788.2,-4.1135887,-17.882485,3.8467938
337,-1000000.0,-5164788.2,-3.8299812,-17.977895,3.8619478
338,-920000.0,-5164788.2,-3.5416377,-18.066699,3.8760861
339,-840000.0,-5164788.2,-3.2488828,-18.148728,3.8891745
340,-760000.0,-5164788.2,-2.952058,-18.223826,3.9011804
341,-680000.0,-5164788.2,-2.6515124,-18.291844,3.9120743
342,-600000.0,-5164788.2,-2.347609,-18.352652,3.9218286
343,-520000.0,-5164788.2,-2.0407179,-18.406128,3.930419
344,-440000.0,-5164788.2,-1.7312203,-18.452166,3.9378235
345,-360000.0,-5164788.2,-1.419503,-18.490673,3.9440233
346,-280000.0,-5164788.2,-1.1059611,-18.521574,3.9490024
347,-200000.0,-5164788.2,-0.79099381,-18.544804,3.952748
348,-120000.0,-5164788.2,-0.47500586,-18.560317,3.9552505
349,-40000.0,-5164788.2,-0.15840371,-18.568081,3.9565033
350,40000.0,-5164788.2,0.1584029,-18.568081,3.9565033
351,120000.0,-5164788.2,0.47500504,-18.560317,3.9552504
352,200000.0,-5164788.2,0.79099298,-18.544804,3.952748
353,280000.0,-5164788.2,1.1059603,-18.521574,3.9490024
354,360000.0,-5164788.2,1.4195021,-18.490673,3.9440233
355,440000.0,-5164788.2,1.7312195,-18.452166,3.9378234
356,520000.0,-5164788.2,2.040717,-18.406128,3.9304189
357,600000.0,-5164788.2,2.3476081,-18.352652,3.9218286
358,680000.0,-5164788.2,2.6515115,-18.291844,3.9120742
359,760000.0,-5164788.2,2.9520571,-18.223825,3.9011804
360,840000.0,-5164788.2,3.2488819,-18.148728,3.8891744
361,920000.0,-5164788.2,3.5416367,-18.066699,3.8760861
362,1000000.0,-5164788.2,3.8299802,-17.977895,3.8619477
363,1080000.0,-5164788.2,4.1135877,-17.882485,3.8467937
364,1160000.0,-5164788.2,4.3921426,-17.780649,3.8306607
365,1240000.0,-5164788.2,4.665348,-17.672575,3.8135871
366,1320000.0,-5164788.2,4.9329143,-17.558462,3.7956132
367,1400000.0,-5164788.2,5.1945751,-17.438516,3.7767807
368,1480000.0,-5164788.2,5.4500696,-17.312948,3.757133
369,1560000.0,-5164788.2,5.6991638,-17.181981,3.7367141
370,1640000.0,-5164788.2,5.9416267,-17.045837,3.7155696
371,1720000.0,-5164788.2,6.1772583,-16.904747,3.6937456
372,1800000.0,-5164788.2,6.4058578,-16.758944,3.671289
373,1880000.0,-5164788.2,6.6272603,-16.608665,3.6482468
374,1960000.0,-5164788.2,6.8412945,-16.454149,3.6246667
375,2040000.0,-5164788.2,7.0478316,-16.295637,3.6005959
376,2120000.0,-5164788.2,7.2467287,-16.133368,3.576082
377,2200000.0,-5164788.2,7.437893,-15.967585,3.5511719
378,2280000.0,-5164788.2,7.621208,-15.798526,3.5259137
379,2360000.0,-5164788.2,7.7966171,-15.626433,3.5003554
